"module name","licenses","repository","licenseUrl","parents"
"abbrev@1.1.0","ISC","http://github.com/isaacs/abbrev-js","http://github.com/isaacs/abbrev-js/raw/master/LICENSE","UNDEFINED"
"acorn-es7-plugin@1.1.6","MIT","https://github.com/MatAtBread/acorn-es7-plugin","https://github.com/MatAtBread/acorn-es7-plugin/raw/master/LICENSE","UNDEFINED"
"acorn@3.3.0","MIT","https://github.com/ternjs/acorn","https://github.com/ternjs/acorn/raw/master/LICENSE","UNDEFINED"
"acorn@4.0.11","MIT","https://github.com/ternjs/acorn","https://github.com/ternjs/acorn/raw/master/LICENSE","UNDEFINED"
"ajv@4.11.5","MIT","https://github.com/epoberezkin/ajv","https://github.com/epoberezkin/ajv/raw/master/LICENSE","UNDEFINED"
"align-text@0.1.4","MIT","https://github.com/jonschlinkert/align-text","https://github.com/jonschlinkert/align-text/raw/master/LICENSE","UNDEFINED"
"alphanum-sort@1.0.2","MIT","https://github.com/TrySound/alphanum-sort","https://github.com/TrySound/alphanum-sort/raw/master/LICENSE","UNDEFINED"
"amdefine@1.0.1","BSD-3-Clause OR MIT","https://github.com/jrburke/amdefine","https://github.com/jrburke/amdefine/raw/master/LICENSE","UNDEFINED"
"ansi-regex@2.1.1","MIT","https://github.com/chalk/ansi-regex","https://github.com/chalk/ansi-regex/raw/master/license","UNDEFINED"
"ansi-styles@2.2.1","MIT","https://github.com/chalk/ansi-styles","https://github.com/chalk/ansi-styles/raw/master/license","UNDEFINED"
"anymatch@1.3.0","ISC","https://github.com/es128/anymatch","https://github.com/es128/anymatch/raw/master/LICENSE","UNDEFINED"
"aproba@1.1.1","ISC","https://github.com/iarna/aproba","https://github.com/iarna/aproba/raw/master/LICENSE","UNDEFINED"
"are-we-there-yet@1.1.2","ISC","https://github.com/iarna/are-we-there-yet","https://github.com/iarna/are-we-there-yet/raw/master/LICENSE","UNDEFINED"
"argparse@1.0.9","MIT","https://github.com/nodeca/argparse","https://github.com/nodeca/argparse/raw/master/LICENSE","UNDEFINED"
"arr-diff@2.0.0","MIT","https://github.com/jonschlinkert/arr-diff","https://github.com/jonschlinkert/arr-diff/raw/master/LICENSE","UNDEFINED"
"arr-flatten@1.0.1","MIT","https://github.com/jonschlinkert/arr-flatten","https://github.com/jonschlinkert/arr-flatten/blob/master/LICENSE","UNDEFINED"
"array-filter@1.0.0","MIT","https://github.com/juliangruber/array-filter","https://github.com/juliangruber/array-filter","UNDEFINED"
"array-find-index@1.0.2","MIT","https://github.com/sindresorhus/array-find-index","https://github.com/sindresorhus/array-find-index/raw/master/license","UNDEFINED"
"array-unique@0.2.1","MIT","https://github.com/jonschlinkert/array-unique","https://github.com/jonschlinkert/array-unique/blob/master/LICENSE","UNDEFINED"
"arrify@1.0.1","MIT","https://github.com/sindresorhus/arrify","https://github.com/sindresorhus/arrify/raw/master/license","UNDEFINED"
"asn1@0.2.3","MIT","https://github.com/mcavage/node-asn1","https://github.com/mcavage/node-asn1/raw/master/LICENSE","UNDEFINED"
"assert-plus@0.2.0","MIT","https://github.com/mcavage/node-assert-plus","https://github.com/mcavage/node-assert-plus","UNDEFINED"
"assert-plus@1.0.0","MIT","https://github.com/mcavage/node-assert-plus","https://github.com/mcavage/node-assert-plus","UNDEFINED"
"assert@1.4.1","MIT","https://github.com/defunctzombie/commonjs-assert","https://github.com/defunctzombie/commonjs-assert/raw/master/LICENSE","UNDEFINED"
"ast-types@0.9.6","MIT","https://github.com/benjamn/ast-types","https://github.com/benjamn/ast-types/raw/master/LICENSE","UNDEFINED"
"async-each@1.0.1","MIT","https://github.com/paulmillr/async-each","https://github.com/paulmillr/async-each","UNDEFINED"
"async-foreach@0.1.3","MIT*","https://github.com/cowboy/javascript-sync-async-foreach","https://github.com/cowboy/javascript-sync-async-foreach/raw/master/LICENSE-MIT","UNDEFINED"
"async@0.2.10","MIT","https://github.com/caolan/async","https://github.com/caolan/async/raw/master/LICENSE","UNDEFINED"
"async@0.9.2","MIT","https://github.com/caolan/async","https://github.com/caolan/async/raw/master/LICENSE","UNDEFINED"
"async@1.5.2","MIT","https://github.com/caolan/async","https://github.com/caolan/async/raw/master/LICENSE","UNDEFINED"
"async@2.2.0","MIT","https://github.com/caolan/async","https://github.com/caolan/async/raw/master/LICENSE","UNDEFINED"
"asynckit@0.4.0","MIT","https://github.com/alexindigo/asynckit","https://github.com/alexindigo/asynckit/raw/master/LICENSE","UNDEFINED"
"autoprefixer@6.7.7","MIT","https://github.com/postcss/autoprefixer","https://github.com/postcss/autoprefixer/raw/master/LICENSE","UNDEFINED"
"aws-sign2@0.6.0","Apache-2.0","https://github.com/mikeal/aws-sign","https://github.com/mikeal/aws-sign/raw/master/LICENSE","UNDEFINED"
"aws4@1.6.0","MIT","https://github.com/mhart/aws4","https://github.com/mhart/aws4/raw/master/LICENSE","UNDEFINED"
"babel-code-frame@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-code-frame","https://github.com/babel/babel/tree/master/packages/babel-code-frame","UNDEFINED"
"babel-core@6.24.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-core","https://github.com/babel/babel/tree/master/packages/babel-core","UNDEFINED"
"babel-generator@6.24.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-generator","https://github.com/babel/babel/tree/master/packages/babel-generator","UNDEFINED"
"babel-helper-bindify-decorators@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-bindify-decorators","https://github.com/babel/babel/tree/master/packages/babel-helper-bindify-decorators","UNDEFINED"
"babel-helper-builder-binary-assignment-operator-visitor@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-builder-binary-assignment-operator-visitor","https://github.com/babel/babel/tree/master/packages/babel-helper-builder-binary-assignment-operator-visitor","UNDEFINED"
"babel-helper-call-delegate@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-call-delegate","https://github.com/babel/babel/tree/master/packages/babel-helper-call-delegate","UNDEFINED"
"babel-helper-define-map@6.23.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-define-map","https://github.com/babel/babel/tree/master/packages/babel-helper-define-map","UNDEFINED"
"babel-helper-explode-assignable-expression@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-explode-assignable-expression","https://github.com/babel/babel/tree/master/packages/babel-helper-explode-assignable-expression","UNDEFINED"
"babel-helper-explode-class@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-explode-class","https://github.com/babel/babel/tree/master/packages/babel-helper-explode-class","UNDEFINED"
"babel-helper-function-name@6.23.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-function-name","https://github.com/babel/babel/tree/master/packages/babel-helper-function-name","UNDEFINED"
"babel-helper-get-function-arity@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-get-function-arity","https://github.com/babel/babel/tree/master/packages/babel-helper-get-function-arity","UNDEFINED"
"babel-helper-hoist-variables@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-hoist-variables","https://github.com/babel/babel/tree/master/packages/babel-helper-hoist-variables","UNDEFINED"
"babel-helper-optimise-call-expression@6.23.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-optimise-call-expression","https://github.com/babel/babel/tree/master/packages/babel-helper-optimise-call-expression","UNDEFINED"
"babel-helper-regex@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-regex","https://github.com/babel/babel/tree/master/packages/babel-helper-regex","UNDEFINED"
"babel-helper-remap-async-to-generator@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-remap-async-to-generator","https://github.com/babel/babel/tree/master/packages/babel-helper-remap-async-to-generator","UNDEFINED"
"babel-helper-replace-supers@6.23.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-replace-supers","https://github.com/babel/babel/tree/master/packages/babel-helper-replace-supers","UNDEFINED"
"babel-helpers@6.23.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-helpers","https://github.com/babel/babel/tree/master/packages/babel-helpers","UNDEFINED"
